rank,artists,song,streams,publish_date,album_name,song_popularity,followers,genres,artist_popularity,acousticness,energy,liveness,valence,danceability,speechiness,loudness,instrumentalness,tempo,year
1,The Weeknd,Blinding Lights,4.079,29 November 2019,After Hours,93,79150971,"['canadian contemporary r&b', 'canadian pop', 'pop']",95,0.00146,0.73,0.0897,0.334,0.514,0.0598,-5.934,9.54e-05,171.005,2019
2,Ed Sheeran,Shape of You,3.790,6 January 2017,÷ (Deluxe),89,112815050,"['pop', 'singer-songwriter pop', 'uk pop']",87,0.581,0.652,0.0931,0.931,0.825,0.0802,-3.183,0.0,95.977,2017
3,Lewis Capaldi,Someone You Loved,3.226,8 November 2018,Divinely Uninspired To A Hellish Extent,92,12207608,"['pop', 'uk pop']",81,0.751,0.405,0.105,0.446,0.501,0.0319,-5.679,0.0,109.891,2018
5,The Weeknd featuring Daft Punk,Starboy,3.052,21 September 2016,Starboy,95,79150971,"['canadian contemporary r&b', 'canadian pop', 'pop']",95,0.141,0.587,0.137,0.486,0.679,0.276,-7.015,6.35e-06,186.003,2016
6,Harry Styles,As It Was,3.034,1 April 2022,As It Was,35,31170730,['pop'],84,0.342,0.731,0.311,0.662,0.52,0.0557,-5.338,0.00101,173.93,2022
7,Drake featuring WizKid and Kyla,One Dance,3.003,5 April 2016,Views,92,84097254,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",96,0.00776,0.625,0.329,0.37,0.792,0.0536,-5.609,0.0018,103.967,2016
8,Tones and I,Dance Monkey,2.996,10 May 2019,Dance Monkey (Stripped Back) / Dance Monkey,78,2920641,['australian pop'],68,0.692,0.588,0.149,0.513,0.824,0.0924,-6.4,0.000104,98.027,2019
11,Imagine Dragons,Believer,2.858,1 February 2017,Evolve,90,51205193,"['modern rock', 'pop', 'rock']",86,0.0622,0.78,0.081,0.666,0.776,0.128,-4.374,0.0,124.949,2017
12,Glass Animals,Heat Waves,2.848,29 June 2020,Dreamland (+ Bonus Levels),21,4010185,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",74,0.44,0.525,0.0921,0.531,0.761,0.0944,-6.9,6.7e-06,80.87,2020
13,Ed Sheeran,Perfect,2.831,3 March 2017,÷ (Deluxe),90,112815050,"['pop', 'singer-songwriter pop', 'uk pop']",87,0.163,0.448,0.106,0.168,0.599,0.0232,-6.312,0.0,95.05,2017
14,The Chainsmokers featuring Halsey,Closer,2.755,29 July 2016,Closer,87,19831026,['pop'],79,0.414,0.524,0.111,0.661,0.748,0.0338,-5.599,0.0,95.01,2016
